iter	RMSE	RMSE
0	192219.5454	192219.5454
1	187079.4935	187079.4935
2	182128.5098	182128.5098
3	177371.4802	177371.4802
4	172741.3583	172741.3583
5	168323.8901	168323.8901
6	164084.969	164084.969
7	160148.174	160148.174
8	156207.7196	156207.7196
9	152150.39	152150.39
10	148295.2664	148295.2664
11	144583.2106	144583.2106
12	140966.2301	140966.2301
13	137577.0819	137577.0819
14	134282.7774	134282.7774
15	131287.0564	131287.0564
16	128123.3316	128123.3316
17	125068.7077	125068.7077
18	122195.3453	122195.3453
19	119303.9189	119303.9189
20	116447.4987	116447.4987
21	113627.686	113627.686
22	110989.654	110989.654
23	108560.9398	108560.9398
24	106156.0152	106156.0152
25	103681.56	103681.56
26	101356.6657	101356.6657
27	99223.57136	99223.57136
28	96988.63501	96988.63501
29	94896.8564	94896.8564
30	92780.49354	92780.49354
31	90789.70374	90789.70374
32	88771.6846	88771.6846
33	87024.72096	87024.72096
34	85346.74417	85346.74417
35	83539.07911	83539.07911
36	81846.59763	81846.59763
37	80512.24688	80512.24688
38	78926.04825	78926.04825
39	77343.59417	77343.59417
40	75826.16678	75826.16678
41	74318.99605	74318.99605
42	72899.342	72899.342
43	71527.0054	71527.0054
44	70248.78011	70248.78011
45	68938.37995	68938.37995
46	67866.27064	67866.27064
47	66651.45387	66651.45387
48	65483.67896	65483.67896
49	64349.11581	64349.11581
50	63179.88195	63179.88195
51	62041.66205	62041.66205
52	61015.22563	61015.22563
53	59985.13153	59985.13153
54	58970.77824	58970.77824
55	58034.22485	58034.22485
56	57096.44407	57096.44407
57	56239.37448	56239.37448
58	55462.03916	55462.03916
59	54623.16669	54623.16669
60	53802.3767	53802.3767
61	53025.64016	53025.64016
62	52282.67083	52282.67083
63	51478.80302	51478.80302
64	50789.63662	50789.63662
65	50162.23422	50162.23422
66	49568.40973	49568.40973
67	48884.70407	48884.70407
68	48238.58893	48238.58893
69	47680.6768	47680.6768
70	47075.99805	47075.99805
71	46501.72458	46501.72458
72	45983.26993	45983.26993
73	45458.99496	45458.99496
74	44976.27806	44976.27806
75	44444.91454	44444.91454
76	44012.44698	44012.44698
77	43626.94759	43626.94759
78	43218.59023	43218.59023
79	42798.91897	42798.91897
80	42275.04758	42275.04758
81	41862.6855	41862.6855
82	41566.2561	41566.2561
83	41178.64956	41178.64956
84	40851.78937	40851.78937
85	40544.63193	40544.63193
86	40258.38956	40258.38956
87	39959.03274	39959.03274
88	39672.13077	39672.13077
89	39362.92887	39362.92887
90	39048.61837	39048.61837
91	38713.33667	38713.33667
92	38462.72504	38462.72504
93	38197.18046	38197.18046
94	37899.56837	37899.56837
95	37664.28721	37664.28721
96	37371.4687	37371.4687
97	37181.46901	37181.46901
98	37000.96624	37000.96624
99	36776.40332	36776.40332
100	36474.06849	36474.06849
101	36310.43875	36310.43875
102	36081.47493	36081.47493
103	35848.85219	35848.85219
104	35585.45634	35585.45634
105	35368.5646	35368.5646
106	35148.03193	35148.03193
107	34901.11936	34901.11936
108	34718.40903	34718.40903
109	34600.06753	34600.06753
110	34408.18385	34408.18385
111	34241.94195	34241.94195
112	34047.60016	34047.60016
113	33822.19803	33822.19803
114	33545.47649	33545.47649
115	33385.74498	33385.74498
116	33207.62579	33207.62579
117	33108.14103	33108.14103
118	32953.60215	32953.60215
119	32821.56613	32821.56613
120	32578.25972	32578.25972
121	32462.21576	32462.21576
122	32267.82423	32267.82423
123	32113.49362	32113.49362
124	32037.8031	32037.8031
125	31898.72872	31898.72872
126	31719.37	31719.37
127	31653.37268	31653.37268
128	31480.88953	31480.88953
129	31317.24368	31317.24368
130	31187.33801	31187.33801
131	31072.39966	31072.39966
132	30958.19735	30958.19735
133	30834.95511	30834.95511
134	30694.231	30694.231
135	30618.62268	30618.62268
136	30484.56267	30484.56267
137	30372.64612	30372.64612
138	30277.63501	30277.63501
139	30151.02276	30151.02276
140	30047.34582	30047.34582
141	29970.50668	29970.50668
142	29879.22806	29879.22806
143	29821.52937	29821.52937
144	29767.07688	29767.07688
145	29700.90957	29700.90957
146	29616.99366	29616.99366
147	29514.82449	29514.82449
148	29465.74113	29465.74113
149	29367.28599	29367.28599
150	29284.71251	29284.71251
151	29217.49566	29217.49566
152	29160.30243	29160.30243
153	29041.29834	29041.29834
154	28933.73725	28933.73725
155	28869.30678	28869.30678
156	28772.014	28772.014
157	28724.43631	28724.43631
158	28661.44848	28661.44848
159	28612.84233	28612.84233
160	28537.74033	28537.74033
161	28450.54821	28450.54821
162	28375.28811	28375.28811
163	28321.71015	28321.71015
164	28226.7989	28226.7989
165	28141.05036	28141.05036
166	28067.27997	28067.27997
167	28041.79945	28041.79945
168	27972.03007	27972.03007
169	27944.30539	27944.30539
170	27919.93194	27919.93194
171	27816.60118	27816.60118
172	27759.89747	27759.89747
173	27670.83609	27670.83609
174	27607.68759	27607.68759
175	27564.84196	27564.84196
176	27476.60306	27476.60306
177	27393.78636	27393.78636
178	27317.19389	27317.19389
179	27229.13025	27229.13025
180	27145.26888	27145.26888
181	27057.44565	27057.44565
182	26986.50228	26986.50228
183	26963.42446	26963.42446
184	26900.92128	26900.92128
185	26843.57412	26843.57412
186	26797.35878	26797.35878
187	26772.76677	26772.76677
188	26695.54089	26695.54089
189	26669.2298	26669.2298
190	26668.31012	26668.31012
191	26610.10868	26610.10868
192	26592.21471	26592.21471
193	26558.69071	26558.69071
194	26502.65686	26502.65686
195	26449.08971	26449.08971
196	26415.85682	26415.85682
197	26350.54163	26350.54163
198	26315.15609	26315.15609
199	26268.79197	26268.79197
200	26236.54077	26236.54077
201	26166.7931	26166.7931
202	26140.0376	26140.0376
203	26065.04202	26065.04202
204	26023.82493	26023.82493
205	25956.33725	25956.33725
206	25905.74408	25905.74408
207	25838.06417	25838.06417
208	25759.9496	25759.9496
209	25699.0806	25699.0806
210	25670.37063	25670.37063
211	25631.97708	25631.97708
212	25591.07264	25591.07264
213	25561.12404	25561.12404
214	25516.85208	25516.85208
215	25467.51625	25467.51625
216	25395.92972	25395.92972
217	25323.69425	25323.69425
218	25286.32455	25286.32455
219	25253.30199	25253.30199
220	25205.44946	25205.44946
221	25149.92799	25149.92799
222	25114.17234	25114.17234
223	25092.89231	25092.89231
224	25020.37877	25020.37877
225	25010.97333	25010.97333
226	24947.39004	24947.39004
227	24917.75881	24917.75881
228	24906.16649	24906.16649
229	24863.25549	24863.25549
230	24819.93796	24819.93796
231	24807.32284	24807.32284
232	24748.23043	24748.23043
233	24687.21825	24687.21825
234	24649.04463	24649.04463
235	24613.61723	24613.61723
236	24587.11286	24587.11286
237	24554.87886	24554.87886
238	24537.29701	24537.29701
239	24509.4756	24509.4756
240	24501.9954	24501.9954
241	24479.64384	24479.64384
242	24417.95427	24417.95427
243	24392.79444	24392.79444
244	24362.65179	24362.65179
245	24337.53469	24337.53469
246	24281.51929	24281.51929
247	24254.29283	24254.29283
248	24212.80867	24212.80867
249	24175.31494	24175.31494
250	24140.22124	24140.22124
251	24114.25009	24114.25009
252	24102.62608	24102.62608
253	24043.04604	24043.04604
254	23994.83431	23994.83431
255	23951.16873	23951.16873
256	23918.52344	23918.52344
257	23860.60257	23860.60257
258	23807.62459	23807.62459
259	23785.45243	23785.45243
260	23764.40071	23764.40071
261	23753.76667	23753.76667
262	23720.59439	23720.59439
263	23691.06418	23691.06418
264	23662.84017	23662.84017
265	23611.1791	23611.1791
266	23585.2782	23585.2782
267	23545.17197	23545.17197
268	23507.344	23507.344
269	23469.68976	23469.68976
270	23456.93968	23456.93968
271	23423.33576	23423.33576
272	23396.9355	23396.9355
273	23386.40741	23386.40741
274	23352.86533	23352.86533
275	23320.06318	23320.06318
276	23293.98302	23293.98302
277	23272.20205	23272.20205
278	23240.10298	23240.10298
279	23217.87088	23217.87088
280	23203.0997	23203.0997
281	23195.23051	23195.23051
282	23186.73489	23186.73489
283	23125.53583	23125.53583
284	23073.93424	23073.93424
285	23016.73935	23016.73935
286	22978.66535	22978.66535
287	22949.95975	22949.95975
288	22918.17084	22918.17084
289	22899.59808	22899.59808
290	22861.76589	22861.76589
291	22841.28099	22841.28099
292	22798.65408	22798.65408
293	22779.301	22779.301
294	22756.53035	22756.53035
295	22739.12811	22739.12811
296	22720.15422	22720.15422
297	22713.66498	22713.66498
298	22686.15368	22686.15368
299	22675.06201	22675.06201
300	22660.70008	22660.70008
301	22645.02184	22645.02184
302	22625.00896	22625.00896
303	22585.2832	22585.2832
304	22565.42398	22565.42398
305	22539.43677	22539.43677
306	22523.21384	22523.21384
307	22512.78748	22512.78748
308	22482.1358	22482.1358
309	22470.07006	22470.07006
310	22455.3949	22455.3949
311	22443.78531	22443.78531
312	22422.13666	22422.13666
313	22400.21125	22400.21125
314	22374.18231	22374.18231
315	22360.99307	22360.99307
316	22328.63922	22328.63922
317	22312.88969	22312.88969
318	22299.07107	22299.07107
319	22283.4998	22283.4998
320	22266.22796	22266.22796
321	22240.22594	22240.22594
322	22199.86686	22199.86686
323	22191.52598	22191.52598
324	22170.77321	22170.77321
325	22160.33441	22160.33441
326	22135.22646	22135.22646
327	22123.18496	22123.18496
328	22093.55536	22093.55536
329	22061.58951	22061.58951
330	22035.19258	22035.19258
331	22021.57495	22021.57495
332	22004.173	22004.173
333	21995.95986	21995.95986
334	21968.60617	21968.60617
335	21963.31348	21963.31348
336	21938.80053	21938.80053
337	21930.42333	21930.42333
338	21909.38449	21909.38449
339	21880.71925	21880.71925
340	21832.5127	21832.5127
341	21822.7869	21822.7869
342	21779.474	21779.474
343	21775.70183	21775.70183
344	21762.23664	21762.23664
345	21751.24694	21751.24694
346	21723.10815	21723.10815
347	21697.1392	21697.1392
348	21688.0726	21688.0726
349	21678.77268	21678.77268
350	21657.43992	21657.43992
351	21638.3974	21638.3974
352	21627.65814	21627.65814
353	21602.49333	21602.49333
354	21600.18857	21600.18857
355	21597.3354	21597.3354
356	21586.42232	21586.42232
357	21571.24741	21571.24741
358	21548.91105	21548.91105
359	21541.59247	21541.59247
360	21537.50988	21537.50988
361	21524.70463	21524.70463
362	21471.19242	21471.19242
363	21447.61753	21447.61753
364	21436.59294	21436.59294
365	21425.49699	21425.49699
366	21405.77506	21405.77506
367	21396.24089	21396.24089
368	21388.11041	21388.11041
369	21373.94136	21373.94136
370	21365.02953	21365.02953
371	21329.87761	21329.87761
372	21321.46429	21321.46429
373	21278.78591	21278.78591
374	21273.89597	21273.89597
375	21255.58646	21255.58646
376	21238.36925	21238.36925
377	21213.24744	21213.24744
378	21204.9767	21204.9767
379	21180.37085	21180.37085
380	21164.9825	21164.9825
381	21150.20972	21150.20972
382	21135.22773	21135.22773
383	21094.87603	21094.87603
384	21060.5728	21060.5728
385	21047.55609	21047.55609
386	21034.72308	21034.72308
387	21027.29193	21027.29193
388	20997.5274	20997.5274
389	20976.5345	20976.5345
390	20953.49538	20953.49538
391	20944.81534	20944.81534
392	20924.00716	20924.00716
393	20916.25973	20916.25973
394	20906.24441	20906.24441
395	20889.57265	20889.57265
396	20879.44481	20879.44481
397	20870.28816	20870.28816
398	20865.17944	20865.17944
399	20857.8721	20857.8721
400	20843.46473	20843.46473
401	20818.26442	20818.26442
402	20801.96234	20801.96234
403	20774.79631	20774.79631
404	20764.06752	20764.06752
405	20761.07677	20761.07677
406	20751.9037	20751.9037
407	20741.83078	20741.83078
408	20728.9202	20728.9202
409	20720.8907	20720.8907
410	20680.58552	20680.58552
411	20673.00177	20673.00177
412	20667.43585	20667.43585
413	20642.45148	20642.45148
414	20629.7204	20629.7204
415	20618.02257	20618.02257
416	20590.43571	20590.43571
417	20554.96987	20554.96987
418	20540.57907	20540.57907
419	20536.29233	20536.29233
420	20529.53475	20529.53475
421	20525.81884	20525.81884
422	20522.9494	20522.9494
423	20511.49866	20511.49866
424	20502.48123	20502.48123
425	20488.45124	20488.45124
426	20485.17667	20485.17667
427	20474.40669	20474.40669
428	20434.09553	20434.09553
429	20418.08894	20418.08894
430	20414.15656	20414.15656
431	20411.60189	20411.60189
432	20406.92139	20406.92139
433	20400.66661	20400.66661
434	20391.77938	20391.77938
435	20375.85014	20375.85014
436	20358.23015	20358.23015
437	20343.8433	20343.8433
438	20314.94793	20314.94793
439	20296.73254	20296.73254
440	20280.46703	20280.46703
441	20247.74321	20247.74321
442	20227.52926	20227.52926
443	20224.41964	20224.41964
444	20216.79844	20216.79844
445	20179.46243	20179.46243
446	20176.34371	20176.34371
447	20171.24768	20171.24768
448	20157.41076	20157.41076
449	20142.33283	20142.33283
450	20138.24824	20138.24824
451	20124.25558	20124.25558
452	20122.90912	20122.90912
453	20113.691	20113.691
454	20096.24187	20096.24187
455	20092.80881	20092.80881
456	20077.09657	20077.09657
457	20068.75863	20068.75863
458	20058.44135	20058.44135
459	20040.83385	20040.83385
460	20019.24811	20019.24811
461	19995.17675	19995.17675
462	19984.06991	19984.06991
463	19964.30092	19964.30092
464	19952.03469	19952.03469
465	19946.19866	19946.19866
466	19943.57585	19943.57585
467	19930.40367	19930.40367
468	19922.77716	19922.77716
469	19907.26786	19907.26786
470	19903.1629	19903.1629
471	19877.36752	19877.36752
472	19857.12568	19857.12568
473	19839.9221	19839.9221
474	19835.63763	19835.63763
475	19822.819	19822.819
476	19818.42358	19818.42358
477	19813.77961	19813.77961
478	19793.59247	19793.59247
479	19781.43833	19781.43833
480	19778.71301	19778.71301
481	19774.54317	19774.54317
482	19770.18115	19770.18115
483	19734.5557	19734.5557
484	19732.04529	19732.04529
485	19724.97805	19724.97805
486	19714.46136	19714.46136
487	19704.11956	19704.11956
488	19700.23327	19700.23327
489	19696.72972	19696.72972
490	19693.63924	19693.63924
491	19676.75629	19676.75629
492	19669.09503	19669.09503
493	19668.1138	19668.1138
494	19659.04782	19659.04782
495	19646.1372	19646.1372
496	19639.50652	19639.50652
497	19630.03258	19630.03258
498	19626.97742	19626.97742
499	19595.73775	19595.73775
